date,season_year,game_id,total_fouls,total_yellows,total_reds,total_pks,season,matchweek
2021-05-15,2021,601843,21.0,1.0,0.0,0.0,2021,1
2021-05-15,2021,601842,26.0,6.0,0.0,0.0,2021,1
2021-05-16,2021,601841,18.0,3.0,0.0,0.0,2021,1
2021-05-16,2021,601840,12.0,1.0,0.0,0.0,2021,1
2021-05-16,2021,601839,15.0,1.0,0.0,0.0,2021,1
2021-05-21,2021,601838,20.0,4.0,0.0,0.0,2021,2
2021-05-22,2021,601837,12.0,4.0,0.0,0.0,2021,2
2021-05-23,2021,601836,31.0,4.0,0.0,0.0,2021,2
2021-05-23,2021,601834,22.0,4.0,0.0,0.0,2021,2
2021-05-23,2021,601835,11.0,3.0,1.0,0.0,2021,2
2021-05-26,2021,601833,14.0,3.0,0.0,0.0,2021,3
2021-05-27,2021,601831,18.0,4.0,0.0,0.0,2021,3
2021-05-27,2021,601832,19.0,4.0,1.0,0.0,2021,3
2021-05-28,2021,601830,13.0,1.0,0.0,0.0,2021,3
2021-05-29,2021,601829,17.0,2.0,0.0,0.0,2021,3
2021-05-30,2021,601828,18.0,4.0,0.0,0.0,2021,3
2021-05-30,2021,601827,16.0,4.0,0.0,0.0,2021,3
2021-05-30,2021,601826,21.0,2.0,0.0,0.0,2021,3
2021-06-05,2021,601825,13.0,1.0,0.0,0.0,2021,4
2021-06-05,2021,601824,20.0,1.0,0.0,0.0,2021,4
2021-06-06,2021,601823,18.0,3.0,0.0,0.0,2021,4
2021-06-06,2021,601821,29.0,6.0,0.0,0.0,2021,4
2021-06-06,2021,601822,18.0,3.0,0.0,0.0,2021,4
2021-06-19,2021,601820,10.0,3.0,0.0,0.0,2021,5
2021-06-20,2021,601819,14.0,0.0,0.0,0.0,2021,5
2021-06-20,2021,601817,13.0,2.0,0.0,0.0,2021,5
2021-06-20,2021,601818,23.0,3.0,0.0,0.0,2021,5
2021-06-20,2021,601816,25.0,2.0,0.0,0.0,2021,5
2021-06-23,2021,601815,31.0,4.0,1.0,0.0,2021,6
2021-06-23,2021,601814,23.0,2.0,0.0,0.0,2021,6
2021-06-23,2021,601813,8.0,1.0,0.0,0.0,2021,6
2021-06-26,2021,601811,21.0,1.0,0.0,0.0,2021,6
2021-06-26,2021,601812,20.0,1.0,1.0,0.0,2021,6
2021-06-26,2021,601810,10.0,1.0,0.0,0.0,2021,6
2021-06-27,2021,601808,17.0,3.0,0.0,0.0,2021,6
2021-06-27,2021,601809,15.0,3.0,0.0,0.0,2021,6
2021-07-02,2021,601806,15.0,0.0,0.0,0.0,2021,7
2021-07-03,2021,601805,27.0,4.0,0.0,0.0,2021,7
2021-07-03,2021,601807,23.0,1.0,0.0,0.0,2021,7
2021-07-03,2021,601804,11.0,2.0,0.0,0.0,2021,7
2021-07-04,2021,601803,12.0,2.0,0.0,0.0,2021,7
2021-07-09,2021,601802,33.0,4.0,0.0,0.0,2021,8
2021-07-10,2021,601801,21.0,5.0,0.0,0.0,2021,8
2021-07-11,2021,601800,22.0,4.0,0.0,0.0,2021,8
2021-07-11,2021,601799,22.0,1.0,0.0,0.0,2021,8
2021-07-11,2021,601798,24.0,6.0,1.0,0.0,2021,8
2021-07-17,2021,601797,18.0,5.0,0.0,0.0,2021,9
2021-07-18,2021,601796,15.0,2.0,1.0,0.0,2021,9
2021-07-18,2021,601795,23.0,2.0,0.0,0.0,2021,9
2021-07-19,2021,601794,31.0,4.0,0.0,0.0,2021,10
2021-07-24,2021,601793,19.0,2.0,0.0,0.0,2021,10
2021-07-24,2021,601792,26.0,7.0,0.0,0.0,2021,10
2021-07-25,2021,601791,17.0,3.0,0.0,0.0,2021,10
2021-07-25,2021,601789,25.0,3.0,1.0,0.0,2021,10
2021-07-25,2021,601790,8.0,1.0,0.0,0.0,2021,10
2021-07-31,2021,601788,13.0,3.0,0.0,0.0,2021,11
2021-08-01,2021,601787,16.0,1.0,0.0,0.0,2021,11
2021-08-01,2021,601786,21.0,1.0,0.0,0.0,2021,11
2021-08-01,2021,601785,24.0,3.0,0.0,0.0,2021,11
2021-08-01,2021,601784,10.0,2.0,0.0,0.0,2021,11
2021-08-07,2021,601782,14.0,1.0,0.0,0.0,2021,12
2021-08-07,2021,601783,15.0,2.0,0.0,0.0,2021,12
2021-08-08,2021,601781,21.0,2.0,0.0,0.0,2021,12
2021-08-08,2021,601780,26.0,7.0,0.0,0.0,2021,12
2021-08-08,2021,601779,21.0,3.0,0.0,0.0,2021,12
2021-08-14,2021,601778,24.0,3.0,0.0,0.0,2021,13
2021-08-14,2021,601777,24.0,6.0,0.0,0.0,2021,13
2021-08-15,2021,601776,19.0,2.0,0.0,0.0,2021,13
2021-08-15,2021,601775,16.0,2.0,0.0,0.0,2021,13
2021-08-15,2021,601774,21.0,1.0,0.0,0.0,2021,13
2021-08-19,2021,601773,20.0,3.0,0.0,0.0,2021,14
2021-08-21,2021,601772,19.0,2.0,1.0,0.0,2021,14
2021-08-22,2021,601771,25.0,2.0,0.0,0.0,2021,14
2021-08-22,2021,601770,17.0,2.0,0.0,0.0,2021,14
2021-08-26,2021,601769,26.0,5.0,1.0,0.0,2021,15
2021-08-26,2021,601768,31.0,2.0,0.0,0.0,2021,15
2021-08-29,2021,601767,19.0,1.0,0.0,0.0,2021,15
2021-08-29,2021,601765,19.0,2.0,0.0,0.0,2021,15
2021-08-29,2021,601766,19.0,3.0,0.0,0.0,2021,15
2021-08-29,2021,601763,23.0,4.0,0.0,0.0,2021,15
