date,season_year,game_id,total_yellows,total_reds,total_pks,season,matchweek,total_fouls
2021-09-03,2021,615814,1,0,0,2020,1,
2021-09-04,2021,615812,5,0,0,2020,1,
2021-09-04,2021,615813,1,0,0,2020,1,
2021-09-04,2021,615810,2,0,0,2020,1,
2021-09-05,2021,615811,3,0,0,2020,1,
2021-09-05,2021,615815,4,1,1,2020,1,
2021-09-11,2021,615805,2,0,0,2020,2,
2021-09-12,2021,615807,1,0,0,2020,2,
2021-09-12,2021,615806,2,0,1,2020,2,
2021-09-12,2021,615808,3,0,0,2020,2,
2021-09-12,2021,615804,2,0,0,2020,2,
2021-09-12,2021,615809,2,0,0,2020,2,
2021-09-25,2021,615799,0,0,0,2020,3,
2021-09-26,2021,615800,0,0,0,2020,3,
2021-09-26,2021,615798,0,0,0,2020,3,
2021-09-26,2021,615803,3,0,0,2020,3,
2021-09-26,2021,615801,0,0,0,2020,3,
2021-09-26,2021,615802,2,0,1,2020,3,
2021-10-02,2021,615793,3,0,0,2020,4,
2021-10-02,2021,615792,1,0,0,2020,4,
2021-10-03,2021,615796,3,0,0,2020,4,
2021-10-03,2021,615797,1,0,0,2020,4,
2021-10-03,2021,615794,1,0,0,2020,4,
2021-10-03,2021,615795,2,0,0,2020,4,
2021-10-09,2021,615790,1,1,0,2020,5,
2021-10-10,2021,615789,1,0,0,2020,5,
2021-10-10,2021,615791,3,1,0,2020,5,
2021-10-10,2021,615786,1,0,0,2020,5,
2021-10-10,2021,615788,0,0,0,2020,5,
2021-10-10,2021,615787,2,0,0,2020,5,
2021-11-06,2021,615781,3,0,0,2020,6,
2021-11-06,2021,615780,3,0,0,2020,6,
2021-11-07,2021,615783,3,0,0,2020,6,
2021-11-07,2021,615784,3,0,0,2020,6,
2021-11-07,2021,615782,1,0,0,2020,6,
2021-11-07,2021,615785,2,0,0,2020,6,
2021-11-13,2021,615774,4,0,0,2020,7,
2021-11-14,2021,615778,2,0,0,2020,7,
2021-11-14,2021,615775,5,0,0,2020,7,
2021-11-14,2021,615777,2,0,0,2020,7,
2021-11-14,2021,615776,1,0,0,2020,7,
2021-11-14,2021,615779,4,0,0,2020,7,
2021-11-20,2021,615769,0,0,0,2020,8,
2021-11-21,2021,615768,2,0,1,2020,8,
2021-11-21,2021,615770,2,0,0,2020,8,
2021-11-21,2021,615772,1,0,0,2020,8,
2021-11-21,2021,615771,1,0,0,2020,8,
2021-11-21,2021,615773,5,0,0,2020,8,
2021-12-11,2021,615762,1,0,0,2020,9,
2021-12-12,2021,615765,1,0,0,2020,9,
2021-12-12,2021,615767,3,0,0,2020,9,
2021-12-12,2021,615764,3,0,1,2020,9,
2021-12-12,2021,615766,4,0,1,2020,9,
2021-12-12,2021,615763,5,1,0,2020,9,
2021-12-19,2021,615756,5,0,1,2020,10,
2021-12-19,2021,615757,3,0,0,2020,10,
2021-12-19,2021,615759,4,0,0,2020,10,
2022-01-09,2021,615753,2,0,0,2020,11,
2022-01-09,2021,615750,4,0,0,2020,11,
2022-01-09,2021,615752,2,0,0,2020,11,
2022-01-15,2021,615744,1,0,0,2020,12,
2022-01-15,2021,615747,1,0,0,2020,12,
2022-01-16,2021,615745,0,0,0,2020,12,
2022-01-16,2021,615749,5,1,1,2020,12,
2022-01-23,2021,615743,2,0,0,2020,13,
2022-01-23,2021,615741,1,0,0,2020,13,
2022-01-23,2021,615739,2,0,0,2020,13,
2022-01-23,2021,615740,0,0,1,2020,13,
2022-01-23,2021,615742,0,0,0,2020,13,
2022-01-23,2021,615738,7,0,0,2020,13,
2022-01-26,2021,615761,2,0,0,2020,14,
2022-01-27,2021,615758,3,0,0,2020,14,
2022-02-05,2021,615735,3,1,0,2020,15,
2022-02-06,2021,615734,0,0,0,2020,15,
2022-02-06,2021,615736,2,0,0,2020,15,
2022-02-06,2021,615733,2,1,1,2020,15,
2022-02-06,2021,615732,2,0,0,2020,15,
2022-02-06,2021,615737,3,0,1,2020,15,
2022-02-11,2021,615726,3,0,0,2020,16,
2022-02-13,2021,615728,1,0,0,2020,16,
2022-02-13,2021,615727,1,0,0,2020,16,
2022-02-13,2021,615730,2,0,0,2020,16,
2022-02-13,2021,615729,3,0,0,2020,16,
2022-02-13,2021,615731,3,0,0,2020,16,
2022-03-02,2021,615751,3,0,0,2020,17,
2022-03-02,2021,615748,0,0,0,2020,17,
2022-03-05,2021,615721,1,0,0,2020,17,
2022-03-05,2021,615724,0,0,0,2020,17,
2022-03-06,2021,615720,4,0,0,2020,17,
2022-03-06,2021,615725,4,0,0,2020,17,
2022-03-10,2021,615722,0,0,0,2020,18,
2022-03-12,2021,615718,2,0,0,2020,18,
2022-03-12,2021,615716,1,0,0,2020,18,
2022-03-13,2021,615717,4,0,0,2020,18,
2022-03-13,2021,615715,1,0,0,2020,18,
2022-03-13,2021,615719,4,0,0,2020,18,
2022-03-13,2021,615714,4,0,0,2020,18,
2022-03-16,2021,615746,0,0,0,2020,19,
2022-03-16,2021,615760,1,0,0,2020,19,
2022-03-16,2021,615754,3,0,0,2020,19,
2022-03-23,2021,615723,2,0,0,2020,20,
2022-03-26,2021,615712,1,0,1,2020,20,
2022-03-27,2021,615711,2,0,1,2020,20,
2022-03-27,2021,615710,0,0,0,2020,20,
2022-03-27,2021,615709,0,0,0,2020,20,
2022-04-01,2021,615705,2,0,0,2020,21,
2022-04-02,2021,615706,0,0,0,2020,21,
2022-04-03,2021,615704,1,0,0,2020,21,
2022-04-03,2021,615702,4,0,0,2020,21,
2022-04-03,2021,615703,3,0,0,2020,21,
2022-04-03,2021,615707,0,0,1,2020,21,
2022-04-23,2021,615697,3,0,0,2020,22,
2022-04-24,2021,615699,0,0,1,2020,22,
2022-04-24,2021,615701,2,0,0,2020,22,
2022-04-24,2021,615698,5,1,0,2020,22,
2022-04-24,2021,615700,0,0,0,2020,22,
2022-04-24,2021,615696,0,0,0,2020,22,
2022-04-28,2021,615755,2,0,0,2020,23,
2022-04-30,2021,615691,1,0,1,2020,23,
2022-05-01,2021,615695,1,0,0,2020,23,
2022-05-01,2021,615693,1,0,0,2020,23,
2022-05-01,2021,615690,2,0,1,2020,23,
2022-05-01,2021,615692,4,0,1,2020,23,
2022-05-01,2021,615694,1,0,0,2020,23,
2022-05-04,2021,615708,0,0,0,2020,24,
2022-05-04,2021,615713,5,0,0,2020,24,
2022-05-08,2021,615685,1,0,0,2020,24,
2022-05-08,2021,615686,2,0,0,2020,24,
2022-05-08,2021,615689,2,0,0,2020,24,
2022-05-08,2021,615688,2,0,1,2020,24,
2022-05-08,2021,615687,4,0,0,2020,24,
2022-05-08,2021,615684,2,0,0,2020,24,
2022-09-16,2022,648312,1,1,0,2021,1,
2022-09-17,2022,648308,1,0,1,2021,1,
2022-09-18,2022,648311,1,0,0,2021,1,
2022-09-18,2022,648310,2,0,0,2021,1,
2022-09-18,2022,648313,3,0,0,2021,1,
2022-09-18,2022,648309,2,0,3,2021,1,
2022-09-24,2022,648314,4,0,0,2021,2,
2022-09-25,2022,648315,3,0,0,2021,2,
2022-09-25,2022,648317,1,0,1,2021,2,
2022-09-25,2022,648319,3,0,0,2021,2,
2022-09-25,2022,648316,1,0,1,2021,2,
2022-09-25,2022,648318,1,0,0,2021,2,
2022-09-28,2022,648303,3,0,0,2021,3,
2022-09-29,2022,648304,5,0,0,2021,3,
2022-10-15,2022,648320,3,1,0,2021,4,
2022-10-16,2022,648323,3,0,0,2021,4,
2022-10-16,2022,648321,0,0,1,2021,4,
2022-10-16,2022,648322,2,0,0,2021,4,
2022-10-16,2022,648325,5,0,0,2021,4,
2022-10-16,2022,648324,6,0,0,2021,4,
2022-10-22,2022,648326,2,0,0,2021,5,
2022-10-22,2022,648330,2,0,0,2021,5,
2022-10-23,2022,648327,0,0,0,2021,5,
2022-10-23,2022,648328,4,0,0,2021,5,
2022-10-23,2022,648331,5,0,1,2021,5,
2022-10-23,2022,648329,1,0,0,2021,5,
2022-10-30,2022,648332,1,0,0,2021,6,
2022-10-30,2022,648334,2,0,0,2021,6,
2022-10-30,2022,648335,2,0,0,2021,6,
2022-10-30,2022,648336,0,0,0,2021,6,
2022-10-30,2022,648337,6,0,0,2021,6,
2022-10-30,2022,648333,3,0,0,2021,6,
2022-11-06,2022,648338,1,0,0,2021,7,
2022-11-06,2022,648339,7,0,1,2021,7,
2022-11-06,2022,648341,1,0,0,2021,7,
2022-11-06,2022,648343,4,0,1,2021,7,
2022-11-06,2022,648340,1,0,0,2021,7,
2022-11-19,2022,648348,3,0,0,2021,8,
2022-11-19,2022,648345,3,0,0,2021,8,
2022-11-20,2022,648349,3,0,1,2021,8,
2022-11-20,2022,648344,0,1,1,2021,8,
2022-11-20,2022,648346,3,0,1,2021,8,
2022-11-20,2022,648347,2,0,0,2021,8,
2022-11-24,2022,648306,2,0,0,2021,9,
2022-12-03,2022,648354,1,0,0,2021,10,
2022-12-03,2022,648350,2,0,0,2021,10,
2022-12-03,2022,648351,1,0,0,2021,10,
2022-12-04,2022,648355,0,0,0,2021,10,
2022-12-04,2022,648352,0,0,0,2021,10,
2022-12-04,2022,648353,3,0,0,2021,10,
2022-12-11,2022,648358,0,0,0,2021,11,
2022-12-11,2022,648361,3,0,0,2021,11,
2022-12-11,2022,648356,1,0,0,2021,11,
2022-12-11,2022,648360,2,0,0,2021,11,
2022-12-14,2022,648342,3,1,0,2021,12,
2023-01-14,2022,648363,5,0,0,2021,13,
2023-01-15,2022,648362,2,0,1,2021,13,
2023-01-15,2022,648367,1,0,0,2021,13,
2023-01-15,2022,648366,3,0,0,2021,13,
2023-01-15,2022,648365,1,0,0,2021,13,
2023-01-15,2022,648364,1,0,0,2021,13,
2023-01-21,2022,648371,0,0,0,2021,14,
2023-01-22,2022,648370,0,0,0,2021,14,
